D_bar,Q,obj_val,VMT,VTT,k,routes
240,80,878.0,878,2407,6,
240,90,878.0,878,2407,6,
240,100,878.0,878,2407,6,
240,110,878.0,878,2407,6,
240,120,878.0,878,2407,6,
265,80,878.0,878,2407,6,
265,90,878.0,878,2407,6,
265,100,878.0,878,2407,6,
265,110,878.0,878,2407,6,
265,120,878.0,878,2407,6,
290,80,878.0,878,2407,6,
290,90,878.0,878,2407,6,
290,100,878.0,878,2407,6,
290,110,878.0,878,2407,6,
290,120,878.0,878,2407,6,
315,80,878.0,878,2407,6,
315,90,878.0,878,2407,6,
315,100,878.0,878,2407,6,
315,110,878.0,878,2407,6,
315,120,878.0,878,2407,6,
340,80,878.0,878,2407,6,
340,90,878.0,878,2407,6,
340,100,878.0,878,2407,6,
340,110,878.0,878,2407,6,
340,120,878.0,878,2407,6,
