Q,T_bar,obj_val,VMT,VTT,k,routes
80,360,,,,,
80,420,,,,,
80,480,878.0,878,2407,6,
80,540,797.0,797,2245,5,
80,600,761.0,761,2173,5,
90,360,,,,,
90,420,,,,,
90,480,878.0,878,2407,6,
90,540,788.0,788,2227,5,
90,600,758.0,758,2167,4,
100,360,,,,,
100,420,,,,,
100,480,878.0,878,2407,6,
100,540,786.0,786,2223,5,
100,600,747.0,747,2145,4,
110,360,,,,,
110,420,,,,,
110,480,878.0,878,2407,6,
110,540,786.0,786,2223,5,
110,600,747.0,747,2145,4,
120,360,,,,,
120,420,,,,,
120,480,878.0,878,2407,6,
120,540,786.0,786,2223,5,
120,600,742.0,742,2135,4,
